,country,weight_muslim,religion,lwr_index,rwr_index,gex_index,polalien,PVJ13,PVJ32,lrscale,conspiracy,demidea,authority,lwe11,lwe23,lwe27,F8A2_1,lwe20,lwe8,rwe4,F11_4A4_1,rwe12,F11_4A2_1,rwe14,rwe15,rwe17,F11_4A1_1,F6_3A5_1,F6_4A4_1,F6_4A3_1,F6_4A1_1,F6A4_1,vote_all
4879,3.0,1.0991622209549,5.0,0.10700000000000001,0.615,0.788,3.0,1.0,3.0,3.0,7.8,3.0,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0
4880,3.0,1.0991622209549,5.0,,,-0.712,2.5714285714285716,,,,,,3.6666666666666665,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,
4881,3.0,1.0991622209549,5.0,,0.23225,-0.202,,1.0,,,,,3.1666666666666665,,,,,,,,,,3.0,,,,,4.0,1.0,1.0,1.0,2.0,0.0
4882,3.0,1.0991622209549,5.0,-0.1635,-0.6467499999999999,-0.192,3.2857142857142856,1.6666666666666667,1.0,6.0,6.6,5.0,2.4166666666666665,,,2.0,,,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,19.0
4883,3.0,1.0991622209549,2.0,-0.2025,0.09700000000000002,-0.169,3.142857142857143,1.5,1.0,8.0,3.2,4.0,3.5,2.0,,,3.0,,,3.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,16.0
4884,3.0,1.0991622209549,2.0,0.066,-0.17400000000000002,0.137,3.7142857142857144,1.1666666666666667,1.0,7.0,7.8,4.0,2.3333333333333335,,3.0,3.0,3.0,3.0,,4.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,20.0
4885,3.0,1.0991622209549,5.0,-0.6639999999999999,-0.9485,-0.593,2.6666666666666665,1.0,1.0,4.0,1.5,,3.75,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,22.0
4886,3.0,1.0991622209549,2.0,0.02,-0.04575,0.497,3.0,1.8333333333333333,2.0,6.0,6.4,3.0,3.3333333333333335,,,,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,16.0
4887,3.0,1.0991622209549,5.0,-0.3035,-0.6325,-0.712,3.4285714285714284,1.6666666666666667,1.0,4.0,4.6,6.0,3.25,,4.0,1.0,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
4888,3.0,0.401199817657471,3.0,0.0755,0.7494999999999999,1.523,3.7142857142857144,1.0,2.8,3.0,6.8,5.0,2.9166666666666665,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,18.0
4889,3.0,1.0991622209549,1.0,0.0945,-0.724,-0.469,3.7142857142857144,1.0,1.0,,3.0,,3.0,3.0,,3.0,3.0,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,19.0
4890,3.0,1.0991622209549,4.0,,,,4.285714285714286,4.166666666666667,3.2,7.0,9.6,4.0,3.5833333333333335,3.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,
4891,3.0,1.0991622209549,2.0,0.356,1.54925,0.112,4.0,1.3333333333333333,2.6,6.0,7.0,4.0,2.6666666666666665,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,,4.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,
4892,3.0,1.0991622209549,5.0,-0.885,-0.8255,-0.712,2.6,1.0,1.0,4.0,1.8,5.0,3.6666666666666665,,1.0,,3.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0
4893,3.0,1.0991622209549,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
